dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1662803474,1,121.507522,31.183462,0.000000,46.618560,0.022123,0.000000,0,1,7.749044
1662810546,1,121.509895,31.184445,0.000000,14.252555,0.000000,0.000000,0,1,7.185653
1662810555,1,121.509955,31.184433,0.000000,14.250213,0.201550,0.000000,0,1,7.428225
1662810779,1,121.510588,31.182470,0.000000,14.283264,0.000000,0.000000,0,1,8.506755
1663047691,1,121.507370,31.183047,0.000000,-1.000000,0.000000,0.000000,0,1,0.000000
1663064990,1,121.507383,31.183334,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1663140609,1,121.507387,31.183333,0.000000,17.137617,0.000000,0.000000,0,1,8.345019
1663169952,1,121.507387,31.183333,0.000000,17.137617,0.000000,0.000000,0,1,8.230398
1663230860,1,121.507387,31.183333,0.000000,17.137617,0.000000,0.000000,0,1,8.254334
1663305472,1,121.507383,31.183334,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1663389579,1,121.506295,31.174950,0.000000,10.829697,0.782606,0.000000,0,1,5.752683
1663394954,1,121.887597,30.903228,0.000000,27.545043,0.258661,0.000000,0,1,4.780553
1663395292,1,121.887720,30.903137,0.000000,97.000000,0.000000,0.000000,0,1,19.780001
1663407327,1,121.888175,30.904112,0.000000,12.982515,0.079855,0.000000,0,1,3.684132
1663407816,1,121.892237,30.904495,0.000000,52.331138,0.000000,0.000000,0,1,3.561382
1663473165,1,121.507355,31.183378,0.000000,21.803844,0.000000,0.000000,0,1,7.771527
1663480517,1,121.447717,31.213272,0.000000,14.176100,0.000000,0.000000,0,1,-1.890644
1663481245,1,121.453080,31.212795,0.000000,14.146171,0.155610,0.000000,0,1,22.368085
1663482081,1,121.454200,31.212362,0.000000,14.115622,0.000000,0.000000,0,1,10.069228
1663493629,1,121.469720,31.222520,0.000000,35.000000,0.000000,0.000000,0,1,23.746098
1663638472,1,121.514205,31.183187,0.000000,14.257530,0.000000,0.000000,0,1,7.160651
1663664173,1,121.507387,31.183333,0.000000,17.137617,0.000000,0.000000,0,1,8.192177
1663736631,1,121.507033,31.183622,0.000000,35.000000,0.000000,0.000000,0,1,8.608133
1663822076,1,121.507150,31.183388,0.000000,35.000000,0.000000,0.000000,0,1,8.561919
1664105786,1,121.505928,31.178958,0.000000,14.241294,0.272724,0.000000,0,1,4.724866
1664105809,1,121.506067,31.179012,0.000000,14.257817,0.259464,0.000000,0,1,5.490920
1664193148,1,121.512025,31.185445,0.000000,14.249460,0.191913,0.000000,0,1,6.264020
1664267036,1,121.506028,31.182417,0.000000,14.272722,0.000000,0.000000,0,1,6.641172
1664444567,1,121.507610,31.183252,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664453330,1,121.510040,31.183537,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664455454,1,121.506088,31.182287,0.000000,14.293961,0.000000,0.000000,0,1,6.634620
1664608356,1,121.500748,31.185629,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664609333,1,121.492969,31.190282,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664610167,1,121.487208,31.191909,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664611811,1,121.497683,31.187086,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664612129,1,121.505049,31.187499,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664680340,1,121.487922,31.185287,0.000000,4.827980,0.000000,0.000000,0,1,0.000000
1664688980,1,121.505706,31.183342,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1664691409,1,121.470537,31.217355,0.000000,14.157385,0.000000,0.000000,0,1,25.181548
1664710189,1,121.487372,31.188730,0.000000,117.744718,0.000000,0.000000,0,1,0.000000
1664712569,1,121.488303,31.188608,0.000000,41.173002,0.673378,0.000000,0,1,13.256961
1664714029,1,121.506203,31.182622,0.000000,15.936705,0.169712,0.000000,0,1,6.747430
1664776483,1,121.493775,31.203405,0.000000,57.666667,0.000000,0.000000,0,1,12.360001
1664794454,1,121.467872,31.233183,0.000000,14.163368,0.000000,0.000000,0,1,16.070469
1665124290,1,121.506112,31.291955,0.000000,16.949388,0.133938,0.000000,0,1,12.850047
1665124557,1,121.507247,31.294108,0.000000,14.231683,0.000000,0.000000,0,1,5.287164
1665363144,1,121.507142,31.183528,0.000000,37.000000,0.000000,0.000000,0,1,8.515822
1665392393,1,121.507172,31.183395,0.000000,15.036915,0.000000,0.000000,0,1,7.683394
1665459841,1,121.515097,31.183658,0.000000,35.000000,0.000000,0.000000,0,1,7.210064
1665464498,1,121.507470,31.183655,0.000000,14.247364,0.000000,0.000000,0,1,7.944061
1665468219,1,121.505783,31.186197,0.000000,14.293802,0.000000,0.000000,0,1,3.409321
1665474565,1,121.502832,31.228357,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1665474640,1,121.503013,31.228254,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1665477506,1,121.497413,31.199017,0.000000,14.208605,0.000000,0.000000,0,1,30.669591
1665477739,1,121.497437,31.199020,0.000000,14.199697,0.000000,0.000000,0,1,23.481887
